SampleID	SourceSink	Env
F_WT451_IL	source	F_WT_Ileum_Lining
F_WT456_IC	source	F_WT_Ileum Contents
F_WT456_IL	source	F_WT_Ileum_Lining
F_WT471_IC	source	F_WT_Ileum Contents
F_WT471_IL	source	F_WT_Ileum_Lining
F_WT484_IC	source	F_WT_Ileum Contents
F_WT484_IL	source	F_WT_Ileum_Lining
F_WT485_IC	source	F_WT_Ileum Contents
F_WT485_IL	source	F_WT_Ileum_Lining
F_WT519_IC	source	F_WT_Ileum Contents
F_WT519_IL	source	F_WT_Ileum_Lining
F_WT521_IC	source	F_WT_Ileum Contents
F_WT521_IL	source	F_WT_Ileum_Lining
F_WT522_IC	source	F_WT_Ileum Contents
F_WT522_IL	source	F_WT_Ileum_Lining
F_WT532_IC	source	F_WT_Ileum Contents
F_WT532_IL	source	F_WT_Ileum_Lining
F_WT549_IC	source	F_WT_Ileum Contents
F_WT549_IL	source	F_WT_Ileum_Lining
F_WT562_IC	source	F_WT_Ileum Contents
F_WT562_IL	source	F_WT_Ileum_Lining
F_WT573_IC	source	F_WT_Ileum Contents
F_WT573_IL	source	F_WT_Ileum_Lining
F_WT580_IC	source	F_WT_Ileum Contents
F_WT580_IL	source	F_WT_Ileum_Lining
F_WT590_IC	source	F_WT_Ileum Contents
F_WT590_IL	source	F_WT_Ileum_Lining
F_WT592_IC	source	F_WT_Ileum Contents
F_WT592_IL	source	F_WT_Ileum_Lining
F_WT412_10	sink	F_WT
F_WT433_10	sink	F_WT
F_WT437_10	sink	F_WT
F_WT438_10	sink	F_WT
F_WT439_10	sink	F_WT
F_WT451_10	sink	F_WT
F_WT456_10	sink	F_WT
F_WT471_10	sink	F_WT
F_WT484_10	sink	F_WT
F_WT485_10	sink	F_WT
F_WT519_10	sink	F_WT
F_WT521_10	sink	F_WT
F_WT522_10	sink	F_WT
F_WT532_10	sink	F_WT
F_WT549_10	sink	F_WT
F_WT562_10	sink	F_WT
F_WT573_10	sink	F_WT
F_WT580_10	sink	F_WT
F_WT590_10	sink	F_WT
F_WT592_10	sink	F_WT
