Genus,403_DC,403_DL,405_DC,405_DL,407_DC,407_DL,408_DC,408_DL,411_DC,411_DL,412_DC,412_DL,414_DC,414_DL,420_DC,420_DL,425_DC,425_DL,427_DC,427_DL,428_DC,428_DL,431_DC,431_DL,432_DC,432_DL,433_DC,433_DL,437_DC,437_DL,438_DC,438_DL,439_DC,439_DL,444_DC,444_DL,449_DC,449_DL,450_DC,450_DL,451_DC,451_DL,452_DC,452_DL,456_DC,456_DL,459_DC,459_DL,461_DC,461_DL,463_DC,463_DL,464_DC,464_DL,465_DC,465_DL,466_DC,466_DL,471_DC,471_DL,472_DC,472_DL,475_DC,475_DL,476_DC,476_DL,478_DC,478_DL,481_DC,481_DL,482_DC,482_DL,484_DC,484_DL,485_DC,485_DL,489_DC,489_DL,495_DC,495_DL,500_DC,500_DL,505_DC,505_DL,509_DC,509_DL,510_DC,510_DL,515_DC,515_DL,517_DC,517_DL,518_DC,518_DL,519_DC,519_DL,521_DC,521_DL,522_DC,522_DL,524_DC,524_DL,528_DC,528_DL,532_DC,532_DL,534_DC,534_DL,535_DC,535_DL,536_DC,536_DL,538_DC,538_DL,541_DC,541_DL,542_DC,542_DL,547_DC,547_DL,548_DC,548_DL,549_DC,549_DL,553_DC,553_DL,555_DC,555_DL,562_DC,562_DL,564_DC,564_DL,568_DC,568_DL,571_DC,571_DL,572_DC,572_DL,573_DC,573_DL,577_DC,577_DL,578_DC,578_DL,579_DC,579_DL,580_DC,580_DL,584_DC,584_DL,590_DC,590_DL,592_DC,592_DL
Pseudomonas,9,24,18,47,0,0,15,85,40,13,54,377,5,0,44,0,56,108,51,8,0,0,58,6,10,24,1293,11,19,46,4,0,9,7,0,61,6,0,148,7,28,237,9,47,21,38,88,22,198,0,0,0,5,101,2,0,6,62,9,104,133,30,217,250,9,0,4,102,3,1324,9,36,0,0,0,12,22,69,11,49,124,46,0,15,16,4,19,60,0,0,10,32,7,62,13,6,0,120,7,0,38,147,0,28,0,45,28,87,30,5,0,7,22,27,21,13,0,8,0,0,73,9,9,16,19,46,9,27,6,0,3,73,5,31,5,62,7,12,0,125,0,109,49,84,49,106,29,137,137,51,11,9,0,44
Ralstonia,0,0,0,22,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
Roseburia,168,0,0,16,351,3,227,362,802,79,33,4,34,2352,68,11,0,24,1133,3330,213,299,66,358,323,1641,159,44,182,0,384,1476,53,32,189,17,0,1270,254,4658,36,21,134,0,665,64,0,9,4,0,19,95,0,164,240,0,18,0,0,35,8,0,0,18,248,0,0,0,8,8,31,425,6,0,7,88,23,160,0,221,0,34,64,3,13,0,11,0,2,0,919,99,0,0,15,11,1250,3328,36,0,0,47,49,414,1675,313,0,104,146,94,18,0,172,0,0,262,15,6,0,0,48,12,9,2,35,51,111,51,143,108,61,33,437,1542,26,0,76,86,4,0,0,101,19,0,116,98,136,499,61,92,50,11,291,0
Rothia,23,0,0,3,0,3,24,2,14,0,0,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,49,0,0,17,0,0,26,0,0,0,85,0,0,0,4,0,17,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,27,0,0,166,0,0,0,0,0,0,0,0,14,0,0,0,0,0,74,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,5,0
Ruminococcaceae1,0,0,0,0,0,0,0,0,39,0,6,0,0,106,0,0,0,0,44,181,6,0,0,39,23,44,4,0,0,0,0,0,4,0,0,0,0,44,22,281,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,2,75,0,0,6,0,6,0,0,0,0,0,0,0,11,32,0,0,23,0,0,0
Staphylococcus,11,103,6,75,3,18,8,94,26,15,29,127,0,0,6,0,45,77,0,21,0,0,6152,203,21,110,193,134,15,12,37,0,12,5,11,191,15,5,6,15,15,37,11,177,0,4,12,168,163,2,4,12,13,17,13,67,6,7,12,137,20,10,11,173,0,2,24,354,22,4082,0,9,13,6,18,7,16,4,28,2,120,3,6,16,7,0,19,74,10,6,26,6,11,33,220,6,103,163,36,125,70,173,10,113,8,10,0,185,71,0,0,9,19,9,7,106,8,13,8,0,9,7,6,0,7,26,17,64,23,2,12,8,0,8,8,6,9,0,4,342,4,16,5,19,594,198,9,18,0,0,11,21,5,9
Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Tetragenococcus,0,0,0,14,7,54,0,9,0,0,10,71,0,0,18,16,9,21,0,8,0,22,0,58,0,71,0,9,29,23,0,0,0,43,8,35,0,9,48,0,0,130,0,0,0,41,0,163,29,0,0,45,0,39,0,153,0,17,6,0,0,0,33,3,0,0,0,0,0,0,0,67,0,46,0,0,10,66,0,0,0,0,33,131,20,10,0,80,0,173,4,32,9,0,0,6,0,69,0,0,0,459,0,0,51,32,14,114,17,0,0,26,54,7,0,48,0,30,0,22,22,0,0,0,0,67,0,26,0,43,0,53,0,99,9,0,37,3,0,69,0,21,42,10,128,0,13,48,0,0,0,49,0,14
Turicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuzzerella,0,0,0,0,0,0,0,46,0,0,13,0,0,106,0,0,0,0,0,59,2,0,0,3,17,20,0,0,0,0,3,51,0,0,10,0,0,0,0,226,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,23,118,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,19,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0
UCG-009,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,53,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,141,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
